,EIN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Bartlett Regional Hospital Foundation,92-0147705,,200.0,100.0,6150.0,1225.0,1550.0,825.0,3125.0,622.0,1700.0,,15497.0
Battle Dawgs,47-2810733,,,,,,,,,,,,
Beacon Hill,27-1779531,,,,,,2275.0,1275.0,,2825.0,3525.0,5125.0,15025.0
Beans Cafe Inc,92-0072522,,19575.0,27975.0,59825.0,94621.0,111288.92,133357.12,142250.0,114427.22,102275.0,85850.0,891444.26
Beckys Place ,46-0958252,,,,,,,,,1475.0,1250.0,1525.0,4250.0
Benefe Equine Assisted Therapy Center,20-5555078,,,275.0,700.0,1300.0,1000.0,1050.0,925.0,825.0,875.0,,6950.0
Bering Sea Womens Group ,92-0068974,,500.0,1575.0,,,,,,1225.0,1225.0,1650.0,6175.0
Bering Straits Foundation,92-0138528,,,,,,,,,,,,
Best Beginnings,45-5066055,,,,,,,,,5275.0,3950.0,3550.0,12775.0
Bethel Baptist Church,92-0089329,,,,,,,,,,,,
Bethel Family Clinic,92-0089260,,,,,,300.0,500.0,925.0,800.0,750.0,1000.0,4275.0
Bethel Friends of Canines,46-2344486,,,,,,,,,,4975.0,5850.0,10825.0
Bethel Search and Rescue,92-0153349,,,,,,,,,,4275.0,5225.0,9500.0
Big Brothers Big Sisters of Alaska,80-0064172,,8025.0,7900.0,19725.0,16553.0,17475.0,18526.8,16600.0,16044.0,12450.0,13125.0,146423.8
Big Lake Library Advocates,94-3192474,,,,,950.0,675.0,825.0,1025.0,1122.0,950.0,1000.0,6547.0
Bike Anchorage,94-3452069,,,,,,2850.0,4375.0,7175.0,8125.0,5775.0,5375.0,33675.0
Birchtree Parents Guild Inc,27-0856057,,,,,,725.0,,450.0,,2300.0,1650.0,5125.0
Birchwood Behavioral Health,92-6001032,,,,1375.0,1850.0,2325.0,3400.0,3750.0,2150.0,1250.0,1000.0,17100.0
Bird Treatment and Learning Center ,92-0130037,,,,,8975.0,12025.0,16500.0,14150.0,14722.0,14000.0,10993.0,91365.0
Blood Bank of Alaska,92-6002175,,2450.0,2175.0,6975.0,6939.0,7675.0,,14200.0,9675.0,6850.0,6025.0,62964.0
Blood N Fire,76-0825329,,,,,1375.0,4425.0,4025.0,6600.0,4425.0,2175.0,1925.0,24950.0
Boys and Girls Club of the Kenai Peninsula,94-3067142,,800.0,7650.0,2500.0,3925.0,3950.0,3875.0,5325.0,4925.0,4375.0,3350.0,40675.0
Boys and Girls Clubs Alaska,92-0036082,,4775.0,3750.0,8325.0,6725.0,8400.0,11350.0,12750.0,11750.0,10325.0,11225.0,89375.0
Brave Heart Volunteers,73-1639840,,2025.0,2700.0,3450.0,4575.0,4350.0,7025.0,6750.0,5125.0,4025.0,4575.0,44600.0
Bread Line Stone Soup,92-0111082,,,,7150.0,7478.0,6625.0,10025.0,13350.0,,9225.0,7975.0,61828.0
Breast Cancer Detection Center of Alaska ,92-0055382,,,4350.0,7075.0,7603.0,7500.0,8300.0,9400.0,7125.0,5025.0,5025.0,61403.0
Bristol Bay Heritage Land Trust,31-1721762,,,,,,,1250.0,1750.0,1375.0,1050.0,1125.0,6550.0
Brother Francis Shelter Kodiak Inc,20-8594266,,,,,,,,,,3075.0,2900.0,5975.0
Bunnell Street Arts Center,94-3220880,,325.0,800.0,1300.0,2150.0,4625.0,3350.0,3825.0,2497.0,3438.35,2950.0,25260.35
Calypso Farm and Ecology Center,92-0169368,,1775.0,2850.0,5700.0,7575.0,6775.0,,,4675.0,2725.0,2150.0,34225.0
Camp Fire Alaska,92-0029613,,1425.0,1625.0,3275.0,5878.0,5250.0,7475.0,6550.0,6400.0,4475.0,4350.0,46703.0
Cancer Connection,92-0165316,,1000.0,3100.0,5225.0,8525.0,7125.0,7125.0,7750.0,6875.0,5075.0,6225.0,58025.0
Carol Brice Center ,94-3123985,,500.0,550.0,925.0,,,,1400.0,950.0,1450.0,525.0,6300.0
Castle Mountain Coalition ,20-8348228,,,,,,,,,1025.0,525.0,750.0,2300.0
Catholic Community Service Inc,92-0042651,,7150.0,10325.0,4600.0,9150.0,8175.0,,17600.0,15300.0,9650.0,10725.0,92675.0
Catholic Schools of Fairbanks,26-0772064,,,,,,,,,6047.0,6225.0,5525.0,17797.0
Catholic Social Services Brother Francis Shelter Clare House,92-0037322,,13875.0,16800.0,31425.0,43939.0,51069.0,75325.0,87900.0,74151.0,62600.0,54075.0,511159.0
CCS Early Learning,92-0040291,,1250.0,2175.0,3100.0,4425.0,4900.0,5400.0,8350.0,5475.0,3875.0,4950.0,43900.0
Center for Alaskan Coastal Studies,92-0086250,,400.0,375.0,1200.0,2803.0,,3150.0,3875.0,,2950.0,2800.0,17553.0
Central Peninsula Health Foundation,20-2778670,,200.0,,2075.0,428.0,650.0,,1950.0,1100.0,775.0,625.0,7803.0
Challenge Alaska,92-0080897,,1600.0,4175.0,6900.0,7575.0,9450.0,10975.0,12700.0,12201.4,9125.0,11075.0,85776.4
Chilkat Valley Community Foundation ACF,92-0155067,,2425.0,2700.0,3150.0,5025.0,4225.0,4025.0,3500.0,3625.0,4625.0,3625.0,36925.0
Chilkat Valley Preschool ,92-0043505,,400.0,375.0,750.0,1100.0,,1150.0,1425.0,1525.0,1300.0,925.0,8950.0
Chinook Montessori Charter School,92-0160979,,,,,,925.0,700.0,925.0,1050.0,500.0,25.0,4125.0
Christian Pilots Association Of Alaska ,92-0076019,,550.0,,,,1200.0,3275.0,3800.0,,550.0,600.0,9975.0
Chugiak Eagle River Historical Society,92-0147295,,,,500.0,450.0,425.0,400.0,750.0,525.0,625.0,700.0,4375.0
Chugiak Eagle River Senior Center,92-0059870,,175.0,1025.0,1900.0,3550.0,2950.0,2875.0,2750.0,2375.0,1650.0,2025.0,21275.0
Chugiak Volunteer Fire and Rescue Company Inc,92-0077503,,,,,,,,,2250.0,1550.0,1425.0,5225.0
Clausen Memorial Museum,92-0089647,,,,200.0,475.0,,,550.0,675.0,925.0,650.0,3475.0
Clear Creek Cat Rescue,27-2265973,,,,,,6416.0,9675.0,11675.0,11675.0,11875.0,12150.0,63466.0
Cold Climate Housing Research Center,92-0169929,,,,,,1200.0,1625.0,1650.0,1125.0,1175.0,1225.0,8000.0
Community Connections ,92-0112719,,5100.0,825.0,,1100.0,1175.0,1600.0,1825.0,1100.0,,525.0,13250.0
CoOccurring Disorders Institute Inc,72-1587301,,,,,,,100.0,,850.0,150.0,400.0,1500.0
Cook Inletkeeper,92-0156450,,3450.0,3275.0,7000.0,9578.0,10200.0,13275.0,15200.0,17822.0,16850.0,18000.0,114650.0
Cooper Landing Community Library,92-0173653,,,,,775.0,950.0,900.0,1325.0,1075.0,1050.0,1000.0,7075.0
Cooper Landing Emergency Services Inc,92-0170016,,,,,1450.0,1750.0,1650.0,2025.0,2025.0,1650.0,1225.0,11775.0
Copper Mountain Foundation,92-0137461,,,,,,,,50.0,50.0,75.0,,175.0
Copper River Hockey Club,92-0145052,,,,,,,1250.0,1500.0,925.0,725.0,650.0,5050.0
Copper River Watershed Project,92-0162546,,600.0,6550.0,,,2675.0,2400.0,,2850.0,1625.0,2800.0,19500.0
Covenant House Alaska,13-3419755,,19800.0,12500.0,33050.0,38229.0,40725.0,,52975.0,41849.0,29375.0,32475.0,300978.0
Crime Victim Compensation Fund,92-6001185,,,,,,,,,,,,
Crisis Pregnancy Center,92-0100206,,4025.0,4225.0,6875.0,11425.0,10625.0,11500.0,11625.0,9029.4,7100.0,5550.0,81979.4
Cross Country Alaska Inc,92-0174320,,,,,,,,,650.0,325.0,375.0,1350.0
Cyranos Theatre,92-0154815,,3050.0,1750.0,3000.0,4000.0,3475.0,,5150.0,4475.0,3400.0,2850.0,31150.0
Delta Library Association,35-2406996,,,,,,,,,600.0,,575.0,1175.0
Denali Arts Council,92-0083375,,1525.0,4675.0,6300.0,2275.0,2100.0,1950.0,3300.0,2200.0,1550.0,1675.0,27550.0
Denali Family Services,92-0155751,,,1725.0,2100.0,1475.0,1125.0,,,,,,6425.0
Discovery Southeast,92-0128339,,675.0,1625.0,4375.0,6300.0,5800.0,5925.0,8000.0,6725.0,4700.0,5525.0,49650.0
Downtown Hope Center,92-0141715,,2725.0,10500.0,9775.0,,14675.0,17225.0,20450.0,17969.0,12625.0,13900.0,119844.0
