,EIN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
United Way of Mat Su,92-0126154,,600.0,2425.0,4950.0,2450.0,3355.0,2925.0,2525.0,1950.0,1475.0,1350.0,24005.0
United Way of Southeast Alaska,92-0103202,,4375.0,4825.0,5925.0,6528.0,6700.0,8025.0,7275.0,4325.0,2825.0,3125.0,53928.0
United Way of the Tanana Valley,92-6003642,,,2600.0,4000.0,4950.0,5975.0,6225.0,5450.0,4000.0,4600.0,2225.0,40025.0
University of Alaska,23-7394620,,1675.0,1075.0,2700.0,2306.0,3425.0,8850.0,8900.0,3900.0,3775.0,2350.0,38956.0
University of Alaska Anchorage,23-7394620,,3250.0,5400.0,8800.0,8944.0,9830.0,21875.0,9525.0,4622.0,4900.0,3900.0,81046.0
University of Alaska Anchorage Kenai Peninsula College,23-7394620,,100.0,175.0,700.0,2303.0,2150.0,2075.0,1875.0,2550.0,750.0,650.0,13328.0
University of Alaska Anchorage Kodiak College,23-7394620,,,675.0,300.0,100.0,125.0,100.0,225.0,550.0,950.0,275.0,3300.0
University of Alaska Anchorage Matanuska Susitna College,23-7394620,,75.0,325.0,575.0,275.0,225.0,1725.0,5575.0,2319.0,830.41,125.0,12049.41
University of Alaska Fairbanks,23-7394620,,4250.0,2725.0,3400.0,8278.0,9250.0,31300.0,32775.0,17166.0,7175.0,5575.0,121894.0
University of Alaska Fairbanks Bristol Bay Campus,23-7394620,,250.0,200.0,175.0,550.0,450.0,625.0,300.0,275.0,250.0,25.0,3100.0
University of Alaska Fairbanks Community and Technical College,23-7394620,,25.0,450.0,475.0,425.0,275.0,325.0,700.0,750.0,525.0,575.0,4525.0
University of Alaska Fairbanks Kuskokwim Campus,23-7394620,,75.0,225.0,550.0,725.0,475.0,350.0,450.0,475.0,350.0,100.0,3775.0
University of Alaska Southeast,23-7394620,,1100.0,625.0,525.0,625.0,1250.0,3375.0,825.0,900.0,1025.0,725.0,10975.0
University of Alaska Southeast Ketchikan Campus,23-7394620,,,50.0,25.0,125.0,50.0,75.0,100.0,75.0,100.0,25.0,625.0
University of Alaska Southeast Sitka Campus,23-7394620,,100.0,200.0,25.0,153.0,100.0,175.0,25.0,200.0,75.0,100.0,1153.0
USAFV ,92-0097890,,150.0,525.0,900.0,,1150.0,1400.0,1525.0,1650.0,1775.0,2050.0,11125.0
Valdez Museum and Historical Archive,92-0159463,,325.0,525.0,425.0,1375.0,1625.0,1425.0,1375.0,925.0,1325.0,900.0,10225.0
Valley Charities,92-0130785,,,,350.0,550.0,1375.0,1575.0,1550.0,1125.0,500.0,675.0,7700.0
Valley Community for Recycling Solutions,92-0174289,,,,,3325.0,4150.0,4050.0,4800.0,3747.0,3250.0,3175.0,26497.0
Valley Mountain Bikers and Hikers,20-4851728,,,,,1775.0,2100.0,2625.0,3125.0,2647.0,2225.0,2875.0,17372.0
Valley Performing Arts,92-0058477,,,,,,,,,3225.0,3275.0,2425.0,8925.0
Valley Residential Services,31-1645473,,100.0,500.0,725.0,728.0,,525.0,625.0,425.0,525.0,375.0,4528.0
Victims for Justice ,92-0110889,,1100.0,1125.0,2950.0,,2575.0,2625.0,3700.0,2500.0,2650.0,1625.0,20850.0
Viking Swim Club Inc,92-0077641,,,,,,,,,,,,
Volunteers of America Alaska ,74-2240098,,575.0,1150.0,1725.0,3328.0,2650.0,2675.0,5375.0,,1275.0,2275.0,21028.0
Wasilla Area Seniors Inc,92-0082770,,200.0,1950.0,,1900.0,2225.0,3650.0,3150.0,2797.0,2025.0,2875.0,20772.0
Wasilla Homeless Committee,47-2893704,,,,,,,,,,,,
WAVE,14-2003379,,,,1200.0,,850.0,1075.0,1225.0,1450.0,1875.0,2050.0,9725.0
Wellness Works Inc,45-4763274,,,,,,,,,200.0,325.0,375.0,900.0
Willow Library Association,92-0072004,,,,,,1650.0,1400.0,2300.0,2425.0,1325.0,1475.0,10575.0
Winterberry Parent Guild Inc,20-3900032,,,,,,,,,2075.0,1350.0,1100.0,4525.0
Women In Safe Homes,92-0069501,,975.0,3075.0,3775.0,5300.0,5025.0,4200.0,3975.0,,2375.0,2200.0,30900.0
World Eskimo Indian Olympics,92-0100207,,,2675.0,1900.0,1126.0,,1375.0,1450.0,1525.0,1550.0,1100.0,12701.0
Wrangell Institute for Science and Environment ,92-0175090,,525.0,1200.0,2200.0,2650.0,2225.0,3300.0,4000.0,1775.0,2375.0,2625.0,22875.0
Wrangell Mountains Center,92-0117864,,,1875.0,2775.0,4206.0,3025.0,3125.0,3400.0,3250.0,3025.0,2800.0,27481.0
Young Life Alaska,84-0385934,,1625.0,2200.0,3325.0,3650.0,3450.0,,4125.0,3000.0,2950.0,2650.0,26975.0
Yukon River Drainage Fisheries Association,92-0135445,,,25.0,1150.0,,325.0,525.0,,,125.0,,2150.0
Yukon River Inter Tribal Watershed Council,92-0166976,,300.0,,425.0,,575.0,,,,600.0,,1900.0
Yuut Elitnaurviat Peoples Learning Center Inc,46-0476816,,50.0,,,,875.0,600.0,2275.0,1125.0,675.0,850.0,6450.0
YWCA Alaska,92-0130244,,1200.0,1125.0,2275.0,2800.0,,3775.0,3575.0,2647.0,2425.0,1150.0,20972.0
Alaska Folk Festival Inc,92-0098258,,,,,,,3775.0,,,1600.0,2150.0,7525.0
Alaska Freedom Journey,51-0635829,,,,,,,450.0,1200.0,1300.0,1725.0,1325.0,6000.0
Alaska Geographic ,92-0043154,,,,,2953.0,2575.0,2975.0,3325.0,2150.0,1750.0,1625.0,17353.0
Alaska Health Fair Inc,92-0118421,,800.0,725.0,1525.0,1775.0,1625.0,2000.0,3500.0,2675.0,1875.0,2100.0,18600.0
Alaska Hemophilia Association,94-3143226,,,,,,,,1300.0,2650.0,1375.0,1975.0,7300.0
Alaska Historical Society,92-0009456,,375.0,750.0,1350.0,,825.0,1000.0,1550.0,1800.0,1450.0,1350.0,10450.0
Alaska Humane Society Adopt a Cat,92-0072189,,2925.0,9450.0,13525.0,,19500.0,23650.0,23279.68,16175.0,13125.0,13375.0,135004.68
Alaska Humanities Forum,92-0042123,,700.0,750.0,1250.0,,2000.0,2125.0,1900.0,2350.0,3050.0,2325.0,16450.0
Alaska Huts Association,92-0165283,,1125.0,,2000.0,3253.0,3925.0,5000.0,5175.0,4800.0,4425.0,3100.0,32803.0
Alaska Injury Prevention Center,92-0169574,,,,,,,,,,150.0,525.0,675.0
Alaska Innocence Project,20-8663089,,,1900.0,3700.0,4803.0,6475.0,10175.0,13775.0,13097.0,10850.0,12075.0,76850.0
Alaska Institute for Justice,56-2533062,,,1800.0,2825.0,3450.0,3350.0,4350.0,4175.0,2550.0,4325.0,3275.0,30100.0
Alaska Junior Theater,92-0081984,,300.0,625.0,1025.0,2025.0,,1775.0,3150.0,2700.0,2525.0,1650.0,15775.0
Alaska Kidney Patients Association,26-3251948,,,,,,,1475.0,2200.0,2475.0,1551.13,1425.0,9126.13
Alaska Legal Services Corporation,92-0034754,,1450.0,1575.0,2225.0,3275.0,2850.0,4800.0,6750.0,6950.0,5550.0,5900.0,41325.0
Alaska Literacy Program,23-7451172,,900.0,2600.0,3650.0,4203.0,5525.0,6125.0,7000.0,,5800.0,5225.0,41028.0
Alaska Marine Conservation Council,92-0155875,,,,3975.0,4225.0,3725.0,6275.0,7950.0,5300.0,6975.0,4300.0,42725.0
Alaska Medical Missions CHA,92-0152088,,,,,,,1125.0,1250.0,650.0,925.0,225.0,4175.0
Alaska Mens Run fighting prostate and testicular cancer,92-0158284,,,,,,1575.0,,1875.0,1897.0,1550.0,1625.0,8522.0
Alaska Mining Hall of Fame Foundation,55-0819611,,,,,225.0,500.0,700.0,1150.0,925.0,850.0,675.0,5025.0
Alaska Moravian Church,92-0110419,,,,,,,,,425.0,300.0,700.0,1425.0
Alaska Mountain Rescue Group,92-0084973,,,2175.0,3900.0,5200.0,5400.0,6275.0,8775.0,7825.0,6125.0,5225.0,50900.0
Alaska Moving Image Preservation Association AMIPA,92-0137768,,325.0,250.0,,625.0,525.0,525.0,700.0,800.0,800.0,900.0,5450.0
Alaska MS Center,20-1966870,,1525.0,,2325.0,4450.0,5925.0,6075.0,8025.0,6400.0,4725.0,3875.0,43325.0
Alaska Museum of Science and Nature,92-0138658,,775.0,1000.0,2875.0,,1950.0,2775.0,3400.0,2850.0,,1700.0,17325.0
Alaska Native Heritage Center,92-0127531,,1975.0,2350.0,3450.0,6162.0,5650.0,7800.0,9725.0,9294.0,4525.0,6825.0,57756.0
Alaska Native Justice Center,92-0145727,,1000.0,625.0,725.0,1950.0,1875.0,,,1350.0,1350.0,2600.0,11475.0
Alaska Network on Domestic Violence and Sexual Assault,92-0087216,,3000.0,1900.0,3075.0,3175.0,3416.0,4975.0,6800.0,7775.0,6075.0,5075.0,45266.0
Alaska Pacific University,92-0023588,,700.0,1425.0,1725.0,8662.0,12500.0,13400.0,19575.0,3797.0,1875.0,1525.0,65184.0
Alaska Peace Officers Association,51-0210787,,,,,,,,,1750.0,2000.0,2700.0,6450.0
Alaska Police and Fire Chaplains Ministry,92-0123900,,1350.0,,,,,,2325.0,2300.0,1700.0,2675.0,10350.0
Alaska Public Health Association,92-0087212,,,,,,875.0,700.0,975.0,400.0,500.0,500.0,3950.0
Alaska Public Interest Research Group,92-0047627,,1375.0,575.0,,,,,,,325.0,,2275.0
Alaska Public Media KSKA KAKM ,23-7394629,,20425.0,48125.0,73425.0,94121.0,106425.0,123289.97,127950.0,109298.0,123727.0,106225.0,933010.97
Alaska Rural Veterinary Outreach Inc,45-4779560,,,,,,,,,6622.0,8282.0,8418.0,23322.0
Alaska SeaLife Center,92-0132479,,,,11425.0,11328.0,17300.0,16800.0,23600.0,23066.0,18475.0,22700.0,144694.0
Alaska Search and Rescue Dogs,94-3055594,,,,4600.0,5453.0,6200.0,9025.0,12225.0,7922.0,7075.0,7050.0,59550.0
Alaska Songbird Institute,46-1837510,,,,,,,,,,2175.0,2225.0,4400.0
Alaska SPCA,92-0068910,,,,,,23955.0,32600.0,45150.0,46676.0,42750.0,43400.0,234531.0
Alaska State Troopers Law Enforcement Museum,92-0091086,,,,,,,475.0,1450.0,1425.0,,,3350.0
Alaska String Camps Inc,92-0153914,,,,,450.0,1200.0,,1550.0,1525.0,1650.0,875.0,7250.0
Alaska Theatre of Youth,92-0102436,,950.0,1150.0,2025.0,2675.0,1900.0,2175.0,1800.0,1775.0,1125.0,,15575.0
Alaska Trails,73-1677483,,2900.0,1600.0,4850.0,,,5200.0,6300.0,5344.0,4950.0,7825.0,38969.0
Alaska Veterans Museum,03-0382080,,,,1125.0,2000.0,2480.0,3325.0,5875.0,4275.0,3425.0,3650.0,26155.0
Alaska WildBird Rehabilitation Center,14-1958727,,,,,,4100.0,4925.0,5850.0,6022.0,5025.0,5650.0,31572.0
Alaska Wildlife Alliance,92-0073877,,,2200.0,,2025.0,2975.0,2925.0,2825.0,2797.0,2850.0,1850.0,20447.0
Alaska Wildlife Conservation Center,92-0170600,,,3850.0,6225.0,6853.0,8225.0,9675.0,11525.0,,9650.0,10225.0,66228.0
Alaska Youth and Family Network,31-1751437,,500.0,2475.0,725.0,825.0,550.0,975.0,1250.0,1022.0,1475.0,1214.61,11011.61
Alaska Youth Soccer,94-3082137,,,,,,,,,1400.0,,775.0,2175.0
Alaska Zoo,92-0039344,,4525.0,4850.0,10525.0,15801.0,14750.0,19350.0,33075.0,28979.4,20850.0,20225.0,172930.4
Alaskan AIDS Assistance Association Four As,92-0113788,,3775.0,4275.0,9225.0,9532.0,9230.0,10250.0,9250.0,10025.0,7950.0,8000.0,81512.0
Alaskan Aviation Safety Foundation,92-0068626,,,,,,1575.0,1200.0,1725.0,1672.0,800.0,900.0,7872.0
Alaskans For Life Inc,92-0058941,,,,,1577.0,750.0,825.0,2975.0,1450.0,800.0,1300.0,9677.0
Alaskas Extended Life Animal Sanctuary,92-0178028,,,,,,,3700.0,8525.0,6675.0,3850.0,4250.0,27000.0
Alaskas Healing Hearts,27-4036000,,,,,,,,,,900.0,875.0,1775.0
Aleut Foundation,92-0124517,,975.0,,1775.0,,1500.0,,,1150.0,1175.0,1825.0,8400.0
Alutiiq Museum and Archaeological Repository,92-0150422,,300.0,1425.0,2475.0,3450.0,4750.0,3300.0,3675.0,3000.0,2975.0,2575.0,27925.0
Alyeska Mighty Mites Ski Racing Program Inc,23-7189644,,,,,,1575.0,,1100.0,775.0,2250.0,525.0,6225.0
Alzheimers Resource of Alaska,92-0101736,,10150.0,3375.0,10200.0,16481.0,16825.0,18525.0,24200.0,22272.0,16575.0,16450.0,155053.0
American Diabetes Association Alaska Area,13-1623888,,1950.0,2175.0,6550.0,6728.0,5900.0,6575.0,8475.0,6050.0,4800.0,4125.0,53328.0
American Foundation for Suicide Prevention,13-3393329,,,,,,800.0,2150.0,5225.0,4575.0,2250.0,3225.0,18225.0
American Heart Association,13-5613797,,,,,3186.0,3450.0,3925.0,6125.0,5225.0,4300.0,3125.0,29336.0
American Lung Association in Alaska,13-1632524,,,,,1278.0,2225.0,2150.0,3150.0,1825.0,1500.0,1650.0,13778.0
American Red Cross of Alaska,53-0196605,,16750.0,17075.0,30675.0,33037.0,39230.0,33450.0,36525.0,34170.58,28500.0,27400.0,296812.58
Anchor Lutheran School,92-0073640,,,,,,,,,1425.0,1075.0,600.0,3100.0
Anchor Point Public Library,92-0105087,,,,,1750.0,1225.0,2100.0,2325.0,1875.0,1350.0,1250.0,11875.0
Anchorage Association of Women Lawyers,47-3983302,,,,,,,,,,,,
Anchorage Audubon Society,51-0182677,,,,,,1375.0,1275.0,1375.0,1275.0,1150.0,1400.0,7850.0
Anchorage Civic Orchestra,92-0130213,,,,,,,,,1150.0,825.0,425.0,2400.0
Anchorage Classical Ballet Academy,91-1860409,,25.0,250.0,550.0,,,,,425.0,275.0,125.0,1650.0
Anchorage Coalition to End Homelessness,46-1156688,,,,,,,,,4747.0,3475.0,3775.0,11997.0
Anchorage Community Concert Band,92-0088315,,,375.0,300.0,600.0,1475.0,975.0,2250.0,1725.0,1650.0,1450.0,10800.0
Anchorage Community Theatre,92-0025223,,850.0,1400.0,2525.0,4131.0,4525.0,7050.0,7450.0,5247.0,3750.0,4475.0,41403.0
ANCHORAGE COMMUNITY YMCA,92-0034878,,175.0,650.0,,1350.0,,1625.0,3325.0,2000.0,2025.0,1450.0,12600.0
Anchorage Concert Association,92-6002302,,1500.0,2600.0,3050.0,3350.0,2825.0,5075.0,7975.0,5594.0,4650.0,3800.0,40419.0
Anchorage Concert Chorus,23-7017298,,1675.0,,2775.0,5650.0,,5875.0,,2347.0,3300.0,1625.0,23247.0
Anchorage Curling Foundation,47-1960599,,,,,,,,,,,,
Anchorage Fairs and Festivals,27-3288002,,,,,,,,,,625.0,200.0,825.0
Anchorage Folk Festival ,92-0142926,,325.0,,2000.0,2500.0,3675.0,3300.0,4300.0,4725.0,2425.0,2950.0,26200.0
Anchorage Gospel Rescue Mission,92-6003040,,,,,,,,,6841.0,5500.0,5850.0,18191.0
Anchorage Library Foundation,92-0081583,,850.0,4850.0,7150.0,11053.0,12400.0,18325.0,17900.0,15672.0,12675.0,14800.0,115675.0
Anchorage Montessori School,92-0063628,,1550.0,2225.0,1500.0,1925.0,1375.0,1425.0,1600.0,2225.0,2525.0,2475.0,18825.0
Anchorage Museum,92-6009317,,7225.0,5725.0,4950.0,4275.0,3175.0,4275.0,5900.0,5625.0,5125.0,6000.0,52275.0
Anchorage Neighborhood Health Center Inc,92-0047965,,3500.0,5975.0,7325.0,6600.0,5825.0,6975.0,8561.0,4454.4,3300.0,3100.0,55615.4
Anchorage Opera Company,51-0175124,,,,1125.0,,,2725.0,3925.0,2747.0,2075.0,1825.0,14422.0
Anchorage Park Foundation,41-2205907,,,,,,,5250.0,8564.4,6450.0,7500.0,6100.0,33864.4
Anchorage Project Access CHA,92-0152088,,150.0,475.0,3425.0,4200.0,3750.0,2800.0,3025.0,2350.0,2300.0,1550.0,24025.0
Anchorage School Based Health Centers CHA,92-0152088,,,,,,,775.0,625.0,1275.0,1175.0,1250.0,5100.0
Anchorage Search Team,47-0910719,,,,,600.0,875.0,,,475.0,,,1950.0
Anchorage Senior Activity Center,92-0086821,,550.0,2550.0,1450.0,2225.0,2150.0,2775.0,2875.0,3150.0,2175.0,1675.0,21575.0
Anchorage Ski Club Inc Arctic Valley Ski Area,92-6003384,,,2000.0,3750.0,4100.0,3625.0,5525.0,4925.0,4650.0,4625.0,4550.0,37750.0
Anchorage Symphony Orchestra,92-6002867,,2300.0,,,,,,,2975.0,3725.0,2418.0,11418.0
Anchorage Waterways Council,92-0111510,,,,,,,2325.0,2075.0,2100.0,2150.0,1925.0,10575.0
Anchorage Young Cancer Coalition,46-4294586,,,,,,,,,,1125.0,1375.0,2500.0
Anchorage Youth Court,92-0129615,,1400.0,2650.0,3075.0,3400.0,4475.0,4975.0,,4125.0,2900.0,2775.0,29775.0
APICC,92-0170234,,,,,,,,,,,175.0,175.0
Aquarian Parent Teacher Organization,91-1755186,,,,,,,,2150.0,1925.0,1025.0,625.0,5725.0
Arctic Access,92-0147951,,,,,,425.0,450.0,900.0,475.0,725.0,275.0,3250.0
Arctic Amateur Radio Club,92-0112729,,,,,,,500.0,825.0,475.0,425.0,375.0,2600.0
Arctic Barnabas Ministries,92-0172389,,,,,,,,,1125.0,625.0,525.0,2275.0
Arctic Education Foundation,92-0068447,,,1625.0,,,1400.0,1900.0,2925.0,2925.0,2850.0,,13625.0
Arctic German Shepherd Rescue,46-1931093,,,,,,,,,3025.0,3575.0,3350.0,9950.0
Arctic Orienteering Club Inc,92-0148988,,,,,,,,,,,,
Arctic Resource Center For Suicide Prevention,46-3820391,,,,,,,,,,1525.0,,1525.0
Arctic Slope Community Foundation,27-2247740,,,900.0,1350.0,,2025.0,3050.0,2275.0,1822.0,1750.0,3175.0,16347.0
Assets Inc,92-0076696,,,,725.0,425.0,1450.0,825.0,1850.0,1350.0,1075.0,1425.0,9125.0
Association for the Education of Young Children Southeast Alaska,92-0118896,,,,,1350.0,,1475.0,2000.0,1625.0,1150.0,1200.0,8800.0
Athabascan Fiddlers Association Inc,31-1776563,,,,,,,,,775.0,300.0,525.0,1600.0
Audubon Alaska,13-1624102,,,,,3581.0,3500.0,4000.0,3950.0,3475.0,5000.0,5175.0,28681.0
Aurora Borealis Lions Eyeglass Recycling and Vision Center ,20-8367797,,,,,,350.0,375.0,500.0,,75.0,100.0,1400.0
Awana Alaska,36-2428692,,,,,,2500.0,4850.0,6050.0,4261.0,3100.0,3225.0,23986.0
AWARE ,92-0064944,,3125.0,10575.0,11925.0,17979.0,20850.0,21825.37,30450.0,28091.0,20983.0,22775.0,188578.37
