,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
American Diabetes Association Alaska Area,,1950.0,2175.0,6550.0,6728.0,5900.0,6575.0,8475.0,6050.0,4800.0,4125.0,53328.0
American Foundation for Suicide Prevention,,,,,,800.0,2150.0,5225.0,4575.0,2250.0,3225.0,18225.0
American Heart Association,,,,,3186.0,3450.0,3925.0,6125.0,5225.0,4300.0,3125.0,29336.0
American Lung Association in Alaska,,,,,1278.0,2225.0,2150.0,3150.0,1825.0,1500.0,1650.0,13778.0
American Red Cross of Alaska,,16750.0,17075.0,30675.0,33037.0,39230.0,33450.0,36525.0,34170.58,28500.0,27400.0,296812.58
Anchor Lutheran School,,,,,,,,,1425.0,1075.0,600.0,3100.0
Anchor Point Public Library,,,,,1750.0,1225.0,2100.0,2325.0,1875.0,1350.0,1250.0,11875.0
Anchorage Association of Women Lawyers,,,,,,,,,,,,
Anchorage Audubon Society,,,,,,1375.0,1275.0,1375.0,1275.0,1150.0,1400.0,7850.0
Anchorage Civic Orchestra,,,,,,,,,1150.0,825.0,425.0,2400.0
Anchorage Classical Ballet Academy,,25.0,250.0,550.0,,,,,425.0,275.0,125.0,1650.0
Anchorage Coalition to End Homelessness,,,,,,,,,4747.0,3475.0,3775.0,11997.0
Anchorage Community Concert Band,,,375.0,300.0,600.0,1475.0,975.0,2250.0,1725.0,1650.0,1450.0,10800.0
Anchorage Community Theatre,,850.0,1400.0,2525.0,4131.0,4525.0,7050.0,7450.0,5247.0,3750.0,4475.0,41403.0
ANCHORAGE COMMUNITY YMCA,,175.0,650.0,,1350.0,,1625.0,3325.0,2000.0,2025.0,1450.0,12600.0
Anchorage Concert Association,,1500.0,2600.0,3050.0,3350.0,2825.0,5075.0,7975.0,5594.0,4650.0,3800.0,40419.0
Anchorage Concert Chorus,,1675.0,,2775.0,5650.0,,5875.0,,2347.0,3300.0,1625.0,23247.0
Anchorage Curling Foundation,,,,,,,,,,,,
Anchorage Fairs and Festivals,,,,,,,,,,625.0,200.0,825.0
Anchorage Folk Festival ,,325.0,,2000.0,2500.0,3675.0,3300.0,4300.0,4725.0,2425.0,2950.0,26200.0
Anchorage Gospel Rescue Mission,,,,,,,,,6841.0,5500.0,5850.0,18191.0
Anchorage Library Foundation,,850.0,4850.0,7150.0,11053.0,12400.0,18325.0,17900.0,15672.0,12675.0,14800.0,115675.0
Anchorage Montessori School,,1550.0,2225.0,1500.0,1925.0,1375.0,1425.0,1600.0,2225.0,2525.0,2475.0,18825.0
Anchorage Museum,,7225.0,5725.0,4950.0,4275.0,3175.0,4275.0,5900.0,5625.0,5125.0,6000.0,52275.0
Anchorage Neighborhood Health Center Inc,,3500.0,5975.0,7325.0,6600.0,5825.0,6975.0,8561.0,4454.4,3300.0,3100.0,55615.4
Anchorage Opera Company,,,,1125.0,,,2725.0,3925.0,2747.0,2075.0,1825.0,14422.0
Anchorage Park Foundation,,,,,,,5250.0,8564.4,6450.0,7500.0,6100.0,33864.4
Anchorage Project Access CHA,,150.0,475.0,3425.0,4200.0,3750.0,2800.0,3025.0,2350.0,2300.0,1550.0,24025.0
Anchorage School Based Health Centers CHA,,,,,,,775.0,625.0,1275.0,1175.0,1250.0,5100.0
Anchorage Search Team,,,,,600.0,875.0,,,475.0,,,1950.0
Anchorage Senior Activity Center,,550.0,2550.0,1450.0,2225.0,2150.0,2775.0,2875.0,3150.0,2175.0,1675.0,21575.0
Anchorage Ski Club Inc Arctic Valley Ski Area,,,2000.0,3750.0,4100.0,3625.0,5525.0,4925.0,4650.0,4625.0,4550.0,37750.0
Anchorage Symphony Orchestra,,2300.0,,,,,,,2975.0,3725.0,2418.0,11418.0
Anchorage Waterways Council,,,,,,,2325.0,2075.0,2100.0,2150.0,1925.0,10575.0
Anchorage Young Cancer Coalition,,,,,,,,,,1125.0,1375.0,2500.0
Anchorage Youth Court,,1400.0,2650.0,3075.0,3400.0,4475.0,4975.0,,4125.0,2900.0,2775.0,29775.0
APICC,,,,,,,,,,,175.0,175.0
Aquarian Parent Teacher Organization,,,,,,,,2150.0,1925.0,1025.0,625.0,5725.0
Arctic Access,,,,,,425.0,450.0,900.0,475.0,725.0,275.0,3250.0
Arctic Amateur Radio Club,,,,,,,500.0,825.0,475.0,425.0,375.0,2600.0
Arctic Barnabas Ministries,,,,,,,,,1125.0,625.0,525.0,2275.0
Arctic Education Foundation,,,1625.0,,,1400.0,1900.0,2925.0,2925.0,2850.0,,13625.0
Arctic German Shepherd Rescue,,,,,,,,,3025.0,3575.0,3350.0,9950.0
Arctic Orienteering Club Inc,,,,,,,,,,,,
Arctic Resource Center For Suicide Prevention,,,,,,,,,,1525.0,,1525.0
Arctic Slope Community Foundation,,,900.0,1350.0,,2025.0,3050.0,2275.0,1822.0,1750.0,3175.0,16347.0
Assets Inc,,,,725.0,425.0,1450.0,825.0,1850.0,1350.0,1075.0,1425.0,9125.0
Association for the Education of Young Children Southeast Alaska,,,,,1350.0,,1475.0,2000.0,1625.0,1150.0,1200.0,8800.0
Athabascan Fiddlers Association Inc,,,,,,,,,775.0,300.0,525.0,1600.0
Audubon Alaska,,,,,3581.0,3500.0,4000.0,3950.0,3475.0,5000.0,5175.0,28681.0
Aurora Borealis Lions Eyeglass Recycling and Vision Center ,,,,,,350.0,375.0,500.0,,75.0,100.0,1400.0
Awana Alaska,,,,,,2500.0,4850.0,6050.0,4261.0,3100.0,3225.0,23986.0
AWARE ,,3125.0,10575.0,11925.0,17979.0,20850.0,21825.37,30450.0,28091.0,20983.0,22775.0,188578.37
